generation,track,model,seed,causal_diagnosis,counter_tactic_specificity,abi_feasibility,judge_kind,judge_model,justification
13,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics with no mechanism for the draw; advice is generic 'try a different mechanism'; no tactic to evaluate for ABI, default middle."
3,A,claude-haiku-4-5,44,2,1,3,anthropic,claude-opus-4-7,"Reflection just logs metrics and says 'carry forward'; no mechanism explaining draw, no concrete counter-tactic, so ABI feasibility is moot (default 3)."
68,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only logs metrics and says 'try a different mechanism'; no causal explanation and no concrete counter-tactic to assess ABI fit, default 3."
14,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection merely restates metrics with no causal analysis of the draw; advice is generic ('try a different mechanism'); no tactic to assess for ABI, default 3."
36,A,claude-haiku-4-5,44,2,1,3,anthropic,claude-opus-4-7,"Cites metrics but no mechanism linking them to win; advice is just 'carry forward' with no concrete tactic, so feasibility is middle by default."
81,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection restates metrics without diagnosing why draws occurred; advice is 'try a different mechanism' with no tactic, so ABI feasibility is indeterminate (default 3)."
15,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection cites metrics but offers no mechanism linking them to the draw; advice is 'try different mechanism', fully generic. No tactic to assess for ABI, default middle."
84,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics with no mechanism; advice is 'try a different mechanism' — fully generic. No counter-tactic to assess for ABI, default 3."
17,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics and says 'try a different mechanism'; no mechanism explanation, no concrete tactic, feasibility unassessable so middle."
85,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,Reflection only reports aggregate AB-test stats; no mechanism tied to match evidence and advice is literally 'try a different mechanism'.
18,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics and draw outcome with no mechanism; advice is 'try a different mechanism', fully generic. No tactic to assess for ABI."
97,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection merely logs metrics with no causal explanation; advice is 'try a different mechanism', fully generic. ABI feasibility unscorable, default 3."
19,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics and says 'try a different mechanism'; no causal analysis of the draw, no concrete tactic, so ABI feasibility is indeterminate (default 3)."
101,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection merely restates metrics and says 'try a different mechanism' with no diagnosis or concrete tactic; feasibility unassessable, default 3."
20,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates aggregate metrics with no mechanism; advice is 'try a different mechanism', no tactic specified, so feasibility defaults to middle."
103,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates draw metrics without explaining why; advice is 'try a different mechanism', no tactic proposed so feasibility is unassessable (default 3)."
21,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics with no causal analysis; advice is 'try a different mechanism' — fully generic. Feasibility unscorable, defaulted to 3."
105,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics and draws; no mechanism identified. Advice is 'try a different mechanism'—generic, no tactic to evaluate for ABI."
22,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates draw outcome with no mechanism; advice is 'try a different mechanism'—no tactic to assess feasibility of, default 3."
107,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection just notes draw with metrics dump; no causal analysis. Advice is 'try a different mechanism' — wholly generic, no tactic to assess feasibility, default 3."
23,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates draw outcome with no mechanism analysis; advice is 'try a different mechanism' - fully generic. No tactic to assess feasibility, default 3."
111,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,Reflection only restates metrics with no mechanism; advice is 'try a different mechanism' - fully generic. No counter-tactic to assess ABI fit; default 3.
24,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates draw outcome with no mechanism analysis; advice is generic 'try different mechanism'; no tactic to evaluate for ABI, default middle."
116,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection is essentially empty: metrics listed but no causal analysis, and advice is literally 'try a different mechanism'. No tactic to assess for feasibility."
